Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,11/24/23,CUST001,Male,34,Beauty,3,50,150
2,2/27/23,CUST002,Female,26,Clothing,2,500,1000
3,1/13/23,CUST003,Male,50,Electronics,1,30,30
4,5/21/23,CUST004,Male,37,Clothing,1,500,500
5,5/6/23,CUST005,Male,30,Beauty,2,50,100
6,4/25/23,CUST006,Female,45,Beauty,1,30,30
7,3/13/23,CUST007,Male,46,Clothing,2,25,50
8,2/22/23,CUST008,Male,30,Electronics,4,25,100
9,12/13/23,CUST009,Male,63,Electronics,2,300,600
10,10/7/23,CUST010,Female,52,Clothing,4,50,200
11,2/14/23,CUST011,Male,23,Clothing,2,50,100
12,10/30/23,CUST012,Male,35,Beauty,3,25,75
13,8/5/23,CUST013,Male,22,Electronics,3,500,1500
14,1/17/23,CUST014,Male,64,Clothing,4,30,120
15,1/16/23,CUST015,Female,42,Electronics,4,500,2000
16,2/17/23,CUST016,Male,19,Clothing,3,500,1500
17,4/22/23,CUST017,Female,,Clothing,4,25,100
18,4/30/23,CUST018,Female,47,Electronics,2,25,50
19,9/16/23,CUST019,Female,62,Clothing,2,25,50
20,11/5/23,CUST020,Male,22,Clothing,3,300,900
21,1/14/23,CUST021,Female,50,Beauty,1,500,500
22,10/15/23,CUST022,Male,18,Clothing,2,50,100
23,4/12/23,CUST023,Female,35,Clothing,4,30,120
24,11/29/23,CUST024,Female,49,Clothing,1,300,300
25,12/26/23,CUST025,Female,64,Beauty,1,50,50
26,10/7/23,CUST026,Female,28,Electronics,2,500,1000
27,8/3/23,CUST027,Female,38,Beauty,2,25,50
28,4/23/23,CUST028,Female,43,Beauty,1,500,500
29,8/18/23,CUST029,Female,42,Electronics,1,30,30
30,10/29/23,CUST030,Female,39,Beauty,3,300,900
31,5/23/23,CUST031,Male,44,Electronics,4,300,1200
32,1/4/23,CUST032,Male,30,Beauty,3,30,90
33,3/23/23,CUST033,Female,50,Electronics,2,50,100
34,12/24/23,CUST034,Female,51,Clothing,3,50,150
35,8/5/23,CUST035,Female,58,Beauty,3,300,900
36,6/24/23,CUST036,Male,52,Beauty,3,300,900
37,5/23/23,CUST037,Female,18,Beauty,3,25,75
38,3/21/23,CUST038,Male,38,Beauty,4,50,200
39,4/21/23,CUST039,Male,23,Clothing,4,30,120
40,6/22/23,CUST040,Male,45,Beauty,1,50,50
41,2/22/23,CUST041,Male,34,Clothing,2,25,50
42,2/17/23,CUST042,Male,22,Clothing,3,300,900
43,7/14/23,CUST043,Female,48,Clothing,1,300,300
44,2/19/23,CUST044,Female,22,Clothing,1,25,25
45,7/3/23,CUST045,Female,55,Electronics,1,30,30
46,6/26/23,CUST046,Female,20,Electronics,4,300,1200
47,11/6/23,CUST047,Female,40,Beauty,3,500,1500
48,5/16/23,CUST048,Male,54,Electronics,3,300,900
49,1/23/23,CUST049,Female,54,Electronics,2,500,1000
50,8/24/23,CUST050,Female,27,Beauty,3,25,75
51,10/2/23,CUST051,Male,27,Beauty,3,25,75
52,3/5/23,CUST052,Female,36,Beauty,1,300,300
53,7/13/23,CUST053,Male,34,Electronics,2,50,100
54,2/10/23,CUST054,Female,38,Electronics,3,500,1500
55,10/10/23,CUST055,Male,31,Beauty,4,30,120
56,5/31/23,CUST056,Female,26,Clothing,3,300,900
57,11/18/23,CUST057,Female,63,Beauty,1,30,30
58,11/13/23,CUST058,Male,18,Clothing,4,300,1200
59,7/5/23,CUST059,Male,62,Clothing,1,50,50
60,10/23/23,CUST060,Male,30,Beauty,3,50,150
61,4/9/23,CUST061,Male,21,Beauty,4,50,200
62,12/27/23,CUST062,Male,18,Beauty,2,50,100
63,2/5/23,CUST063,Male,57,Electronics,2,25,50
64,1/24/23,CUST064,Male,49,Clothing,4,25,100
65,12/5/23,CUST065,Male,51,Electronics,4,500,2000
66,4/27/23,CUST066,Female,45,Electronics,1,30,30
67,5/29/23,CUST067,Female,,Beauty,4,300,1200
68,2/10/23,CUST068,Male,25,Electronics,1,300,300
69,4/30/23,CUST069,Female,56,Beauty,3,25,75
70,2/21/23,CUST070,Female,43,Clothing,1,300,300
71,7/14/23,CUST071,Female,51,Beauty,4,25,100
72,5/23/23,CUST072,Female,20,Electronics,4,500,2000
73,8/21/23,CUST073,Male,29,Electronics,3,30,90
74,11/22/23,CUST074,Female,18,Beauty,4,500,2000
75,7/6/23,CUST075,Male,61,Beauty,4,50,200
76,3/25/23,CUST076,Female,22,Electronics,2,50,100
77,7/9/23,CUST077,Female,47,Clothing,2,50,100
78,7/1/23,CUST078,Female,47,Clothing,3,500,1500
79,4/18/23,CUST079,Male,34,Beauty,1,300,300
80,12/10/23,CUST080,Female,64,Clothing,2,30,60
81,5/17/23,CUST081,Male,40,Electronics,1,50,50
82,12/26/23,CUST082,Female,32,Beauty,4,50,200
83,12/16/23,CUST083,Male,54,Electronics,2,50,100
84,11/28/23,CUST084,Female,38,Electronics,3,30,90
85,2/6/23,CUST085,Male,31,Clothing,3,50,150
86,11/8/23,CUST086,Male,19,Beauty,3,30,90
87,11/22/23,CUST087,Female,28,Beauty,2,50,100
88,3/29/23,CUST088,Male,56,Clothing,1,500,500
89,10/1/23,CUST089,Female,55,Electronics,4,500,2000
90,5/6/23,CUST090,Female,51,Electronics,1,30,30
91,3/25/23,CUST091,Female,55,Electronics,1,500,500
92,8/25/23,CUST092,Female,51,Electronics,4,30,120
93,7/14/23,CUST093,Female,35,Beauty,4,500,2000
94,5/19/23,CUST094,Female,47,Beauty,2,500,1000
95,11/24/23,CUST095,Female,32,Clothing,2,30,60
96,12/19/23,CUST096,Female,44,Clothing,2,300,600
97,10/13/23,CUST097,Female,51,Beauty,2,500,1000
98,4/23/23,CUST098,Female,55,Beauty,2,50,100
99,12/17/23,CUST099,Female,50,Electronics,4,300,1200
100,6/16/23,CUST100,Male,41,Electronics,1,30,30
101,1/29/23,CUST101,Male,32,Clothing,2,300,600
102,4/28/23,CUST102,Female,47,Beauty,2,25,50
103,1/17/23,CUST103,Female,59,Clothing,1,25,25
104,6/11/23,CUST104,Female,34,Beauty,2,500,1000
105,7/25/23,CUST105,Female,22,Electronics,1,500,500
106,5/18/23,CUST106,Female,46,Clothing,1,50,50
107,2/3/23,CUST107,Female,21,Clothing,4,300,1200
108,4/19/23,CUST108,Female,27,Beauty,3,25,75
109,10/18/23,CUST109,Female,34,Electronics,4,500,2000
110,6/11/23,CUST110,Male,27,Clothing,3,300,900
111,4/19/23,CUST111,Female,34,Electronics,3,500,1500
112,12/2/23,CUST112,Male,37,Clothing,3,500,1500
113,9/13/23,CUST113,Female,41,Electronics,2,25,50
114,7/22/23,CUST114,Female,22,Beauty,4,25,100
115,11/26/23,CUST115,Male,51,Clothing,3,500,1500
116,8/23/23,CUST116,Female,23,Clothing,1,30,30
117,3/15/23,CUST117,Male,19,Electronics,2,500,1000
118,5/16/23,CUST118,Female,30,Electronics,4,500,2000
119,3/13/23,CUST119,Female,60,Clothing,3,50,150
120,5/7/23,CUST120,Male,60,Beauty,1,50,50
121,10/15/23,CUST121,Female,28,Electronics,4,50,200
122,10/3/23,CUST122,Male,64,Electronics,4,30,120
123,5/15/23,CUST123,Female,40,Electronics,2,30,60
124,10/27/23,CUST124,Male,33,Clothing,4,500,2000
125,8/8/23,CUST125,Male,48,Clothing,2,50,100
126,10/26/23,CUST126,Female,28,Clothing,3,30,90
127,7/24/23,CUST127,Female,33,Clothing,2,25,50
128,7/5/23,CUST128,Male,25,Beauty,1,500,500
129,4/23/23,CUST129,Female,21,Beauty,2,300,600
130,3/12/23,CUST130,Female,57,Clothing,1,500,500
131,9/18/23,CUST131,Female,21,Beauty,2,300,600
132,9/10/23,CUST132,Male,42,Electronics,4,50,200
133,2/16/23,CUST133,Male,20,Electronics,3,300,900
134,1/25/23,CUST134,Male,49,Electronics,1,50,50
135,2/26/23,CUST135,Male,20,Clothing,2,25,50
136,3/20/23,CUST136,Male,44,Electronics,2,300,600
137,11/18/23,CUST137,Male,46,Beauty,2,500,1000
138,3/23/23,CUST138,Male,49,Clothing,4,50,200
